# AAPL DEMO DATA — synthetic random walk, NOT real market data
date,open,high,low,close,volume
2024-07-01,190.00,197.17,188.33,193.02,49683646
2024-07-02,193.02,194.78,192.40,193.61,89816691
2024-07-03,193.61,195.06,193.35,194.94,68086405
2024-07-04,194.94,196.38,191.30,192.41,85299797
2024-07-05,192.41,195.14,192.13,193.39,69134102
2024-07-08,193.39,195.67,190.05,191.30,46508729
2024-07-09,191.30,192.10,188.24,188.33,58003000
2024-07-10,188.33,188.67,182.89,185.42,64277647
2024-07-11,185.42,186.30,185.16,185.94,66690168
2024-07-12,185.94,188.37,182.34,183.87,82074777
2024-07-15,183.87,183.90,176.20,177.39,97440321
2024-07-16,177.39,177.54,176.93,177.28,62570310
2024-07-17,177.28,184.53,176.86,183.43,51456541
2024-07-18,183.43,187.28,183.20,184.36,49387133
2024-07-19,184.36,188.39,182.98,185.80,46394168
2024-07-22,185.80,194.42,184.69,191.17,47951729
2024-07-23,191.17,191.94,186.01,186.34,65558581
2024-07-24,186.34,187.66,185.19,187.02,54173061
2024-07-25,187.02,197.38,185.84,194.25,49786028
2024-07-26,194.25,197.19,187.87,190.24,62152973
2024-07-29,190.24,190.79,185.69,186.10,46085344
2024-07-30,186.10,187.86,182.49,183.92,56025324
2024-07-31,183.92,186.29,181.50,182.79,47509533
2024-08-01,182.79,183.62,182.30,183.03,68126830
2024-08-02,183.03,184.32,179.45,180.67,34120779
2024-08-05,180.67,182.44,176.85,177.63,56783931
2024-08-06,177.63,179.77,175.60,175.71,45225012
2024-08-07,175.71,176.07,172.78,173.25,61606380
2024-08-08,173.25,174.89,172.47,173.07,46289021
2024-08-09,173.07,179.00,168.80,178.18,72449660
2024-08-12,178.18,181.84,176.98,181.25,64748596
2024-08-13,181.25,186.72,180.90,184.60,54440252
2024-08-14,184.60,186.91,182.55,184.16,11135959
2024-08-15,184.16,186.39,179.89,181.42,85209417
2024-08-16,181.42,182.60,180.63,181.22,94906661
2024-08-19,181.22,182.52,179.81,181.48,87112289
2024-08-20,181.48,184.44,177.62,178.03,61758081
2024-08-21,178.03,178.29,171.58,173.18,48278708
2024-08-22,173.18,175.14,165.64,167.34,100109725
2024-08-23,167.34,168.13,163.92,164.40,67008970
2024-08-26,164.40,165.87,159.03,160.96,58869434
2024-08-27,160.96,161.39,158.66,159.74,66031347
2024-08-28,159.74,162.24,159.53,162.13,91918754
2024-08-29,162.13,162.43,158.71,160.64,24239347
2024-08-30,160.64,163.53,159.45,163.02,63450765
2024-09-02,163.02,163.20,160.67,161.17,69744364
2024-09-03,161.17,167.92,161.05,166.55,26441357
2024-09-04,166.55,167.96,166.17,166.93,59161291
2024-09-05,166.93,171.15,165.82,169.71,35518954
2024-09-06,169.71,171.65,164.27,166.15,49549916
2024-09-09,166.15,167.16,165.85,166.76,52279796
2024-09-10,166.76,168.85,159.50,162.84,73415709
2024-09-11,162.84,163.10,159.88,163.06,101494674
2024-09-12,163.06,165.16,162.08,164.69,27078186
2024-09-13,164.69,168.52,163.47,163.77,29909892
2024-09-16,163.77,165.23,158.32,159.95,57629289
2024-09-17,159.95,161.29,153.53,155.14,67120989
2024-09-18,155.14,159.59,154.71,159.44,87321920
2024-09-19,159.44,166.57,159.40,163.94,70821528
2024-09-20,163.94,165.46,163.90,165.20,50962838
2024-09-23,165.20,168.72,164.12,167.65,25378785
2024-09-24,167.65,173.56,165.72,172.33,30846638
2024-09-25,172.33,172.57,164.73,164.89,26135220
2024-09-26,164.89,170.30,164.69,169.48,58385212
2024-09-27,169.48,171.27,167.60,168.73,53710167
2024-09-30,168.73,177.86,166.44,174.89,49526202
2024-10-01,174.89,178.99,174.53,177.44,51057884
2024-10-02,177.44,177.44,174.24,174.82,69079289
2024-10-03,174.82,176.26,174.61,175.34,52602612
2024-10-04,175.34,175.50,174.80,175.19,70417473
2024-10-07,175.19,177.20,174.55,176.60,16866640
2024-10-08,176.60,179.46,176.31,178.41,33891349
2024-10-09,178.41,183.77,177.55,182.14,83675880
2024-10-10,182.14,185.84,179.56,180.48,58199690
2024-10-11,180.48,180.72,179.08,180.40,73453780
2024-10-14,180.40,183.00,176.99,182.13,75297982
2024-10-15,182.13,185.84,180.76,184.81,23181364
2024-10-16,184.81,186.94,183.29,186.87,79438732
2024-10-17,186.87,192.06,184.98,190.97,39872782
2024-10-18,190.97,198.47,189.67,196.35,28632538
