# AMZN DEMO DATA — synthetic random walk, NOT real market data
date,open,high,low,close,volume
2024-07-01,185.00,187.85,184.56,186.66,44079121
2024-07-02,186.66,187.15,182.70,185.97,50229050
2024-07-03,185.97,186.59,180.56,180.63,21617685
2024-07-04,180.63,183.61,179.26,183.07,62025011
2024-07-05,183.07,186.60,179.70,183.63,54320624
2024-07-08,183.63,189.66,181.35,189.50,84076586
2024-07-09,189.50,190.75,188.28,188.55,67108920
2024-07-10,188.55,195.23,185.14,195.17,38677259
2024-07-11,195.17,195.34,193.60,194.92,86432521
2024-07-12,194.92,195.57,192.62,195.51,33233275
2024-07-15,195.51,197.32,190.13,191.77,68371933
2024-07-16,191.77,191.80,189.38,190.08,62674580
2024-07-17,190.08,194.36,182.85,184.87,49414236
2024-07-18,184.87,184.89,177.99,178.96,70577799
2024-07-19,178.96,180.78,178.34,179.77,97560471
2024-07-22,179.77,180.42,178.76,179.62,60894392
2024-07-23,179.62,181.18,177.28,180.44,43556874
2024-07-24,180.44,184.91,177.29,184.22,60114306
2024-07-25,184.22,188.25,182.02,186.84,22290949
2024-07-26,186.84,188.17,184.57,184.76,38557486
2024-07-29,184.76,185.42,180.92,183.55,85952587
2024-07-30,183.55,184.97,178.74,179.46,78232414
2024-07-31,179.46,183.73,178.46,183.22,60798628
2024-08-01,183.22,183.44,179.99,180.35,79870457
2024-08-02,180.35,182.07,179.20,182.00,17077121
2024-08-05,182.00,184.93,180.92,181.63,74856655
2024-08-06,181.63,184.66,173.18,173.49,56594542
2024-08-07,173.49,178.14,173.04,177.02,73395833
2024-08-08,177.02,178.64,175.03,177.17,40308753
2024-08-09,177.17,178.76,169.39,170.63,58730922
2024-08-12,170.63,171.96,167.94,171.49,62313570
2024-08-13,171.49,171.55,168.91,169.76,38958102
2024-08-14,169.76,170.86,168.55,168.77,53413528
2024-08-15,168.77,170.18,165.74,168.66,56708428
2024-08-16,168.66,168.71,165.31,165.35,44566300
2024-08-19,165.35,173.76,163.32,173.47,44934975
2024-08-20,173.47,176.53,173.15,175.17,45945953
2024-08-21,175.17,175.17,172.84,173.37,24055107
2024-08-22,173.37,175.58,171.64,171.94,100655035
2024-08-23,171.94,174.37,170.51,172.07,62710231
2024-08-26,172.07,178.54,170.32,176.86,77383498
2024-08-27,176.86,177.41,171.52,172.59,56811142
2024-08-28,172.59,173.35,168.66,170.52,35195585
2024-08-29,170.52,181.85,169.66,181.72,76071188
