# MSFT DEMO DATA — synthetic random walk, NOT real market data
date,open,high,low,close,volume
2024-07-01,420.00,424.69,412.32,424.27,58297583
2024-07-02,424.27,424.60,413.34,418.04,78978514
2024-07-03,418.04,422.00,416.21,417.87,35292265
2024-07-04,417.87,420.20,407.20,412.35,42931992
2024-07-05,412.35,419.59,409.37,409.73,78005320
2024-07-08,409.73,412.66,398.93,400.63,24227712
2024-07-09,400.63,402.52,389.27,398.14,44274685
2024-07-10,398.14,411.09,394.51,410.97,36559295
2024-07-11,410.97,412.48,408.44,409.94,44091217
2024-07-12,409.94,418.13,409.44,415.96,85182888
2024-07-15,415.96,435.77,411.21,427.10,40210536
2024-07-16,427.10,440.41,419.50,433.46,71602489
2024-07-17,433.46,435.94,433.20,433.97,52418669
2024-07-18,433.97,438.01,433.92,436.90,89085018
2024-07-19,436.90,438.77,433.51,433.77,52960985
2024-07-22,433.77,433.93,421.02,421.43,54920546
2024-07-23,421.43,425.77,420.36,424.08,56409824
2024-07-24,424.08,429.53,422.12,426.10,76960400
2024-07-25,426.10,426.70,413.79,417.19,71779927
2024-07-26,417.19,417.95,411.90,415.49,66189968
2024-07-29,415.49,419.15,408.16,412.55,62481106
2024-07-30,412.55,416.00,410.06,414.39,51149558
2024-07-31,414.39,420.89,404.43,406.98,14993033
2024-08-01,406.98,408.22,391.35,396.63,69975175
2024-08-02,396.63,400.49,388.71,392.46,58611744
2024-08-05,392.46,396.61,381.89,382.48,60672978
2024-08-06,382.48,387.78,382.39,386.67,64563156
2024-08-07,386.67,399.59,378.19,398.60,75641436
2024-08-08,398.60,402.77,397.86,401.30,70779557
2024-08-09,401.30,403.69,395.92,400.65,51901743
2024-08-12,400.65,403.40,385.62,390.50,49405576
2024-08-13,390.50,392.88,389.92,392.48,105036309
2024-08-14,392.48,395.12,384.35,387.41,53484262
2024-08-15,387.41,388.54,374.99,378.12,85095318
2024-08-16,378.12,378.19,374.28,375.35,51906501
2024-08-19,375.35,375.41,370.28,374.81,51087046
2024-08-20,374.81,387.02,371.29,380.94,67419939
2024-08-21,380.94,383.57,380.76,383.53,70340931
2024-08-22,383.53,386.63,372.12,376.26,65552509
2024-08-23,376.26,378.12,368.92,372.94,74330188
2024-08-26,372.94,377.56,370.09,375.27,77483248
2024-08-27,375.27,379.67,369.99,379.53,86135384
2024-08-28,379.53,382.14,370.84,374.61,56947495
2024-08-29,374.61,383.58,369.83,378.89,63589711
2024-08-30,378.89,385.22,377.49,382.98,51544147
2024-09-02,382.98,386.08,376.68,381.64,26952791
2024-09-03,381.64,387.67,373.40,375.80,40020410
2024-09-04,375.80,377.66,371.38,373.55,46989018
2024-09-05,373.55,376.00,364.82,370.55,66160189
2024-09-06,370.55,377.87,369.80,375.37,47470687
2024-09-09,375.37,386.23,374.57,379.39,39793511
2024-09-10,379.39,382.45,375.83,381.69,71448555
2024-09-11,381.69,386.64,378.82,385.67,86909793
2024-09-12,385.67,392.17,383.69,389.21,50809699
2024-09-13,389.21,390.70,382.62,383.75,112305592
2024-09-16,383.75,386.35,379.60,381.77,63579825
2024-09-17,381.77,386.95,376.10,380.44,48138279
2024-09-18,380.44,380.76,378.81,379.29,61869970
2024-09-19,379.29,391.92,379.26,387.78,44807839
2024-09-20,387.78,394.26,381.76,393.66,73367056
2024-09-23,393.66,395.18,385.49,386.04,74486383
2024-09-24,386.04,389.28,375.82,380.89,79323373
2024-09-25,380.89,384.19,380.45,381.63,57727930
2024-09-26,381.63,381.97,377.15,378.00,11619861
2024-09-27,378.00,379.55,374.55,374.63,58239848
2024-09-30,374.63,384.27,371.58,381.88,46378192
2024-10-01,381.88,394.90,380.30,389.53,48770338
2024-10-02,389.53,390.94,374.52,376.82,43324455
2024-10-03,376.82,380.11,371.94,374.58,60189977
2024-10-04,374.58,378.06,367.87,369.81,69242540
2024-10-07,369.81,375.52,368.01,374.62,69142192
2024-10-08,374.62,376.63,359.74,363.15,71898141
2024-10-09,363.15,367.82,360.78,363.07,83035124
2024-10-10,363.07,371.02,361.82,369.06,103637659
2024-10-11,369.06,375.05,362.86,365.20,73974373
2024-10-14,365.20,368.75,360.14,362.44,56102055
2024-10-15,362.44,369.04,361.05,367.27,67855768
2024-10-16,367.27,376.24,365.82,370.55,41809265
2024-10-17,370.55,371.25,363.25,365.76,84606084
2024-10-18,365.76,370.67,360.42,368.74,53871088
2024-10-21,368.74,376.38,367.62,372.26,57295159
2024-10-22,372.26,377.38,370.20,373.42,81635773
2024-10-23,373.42,374.78,372.98,373.71,72374278
2024-10-24,373.71,386.72,370.43,380.10,68942804
2024-10-25,380.10,388.77,379.01,387.46,83380831
2024-10-28,387.46,390.21,386.83,388.51,29934414
2024-10-29,388.51,399.81,386.54,391.17,78597379
2024-10-30,391.17,398.15,390.18,398.13,45577883
2024-10-31,398.13,402.65,396.31,399.61,71689573
2024-11-01,399.61,403.93,397.48,403.83,63032950
2024-11-04,403.83,406.93,396.04,399.59,46761813
2024-11-05,399.59,402.73,399.35,401.21,69834355
2024-11-06,401.21,412.08,395.87,407.55,63599402
2024-11-07,407.55,408.37,389.48,392.04,58678399
2024-11-08,392.04,394.97,387.82,389.70,37543585
2024-11-11,389.70,399.32,386.09,392.08,22382596
2024-11-12,392.08,396.77,387.22,388.07,47384045
2024-11-13,388.07,392.49,385.04,390.50,61679565
2024-11-14,390.50,394.53,385.43,391.76,11623028
2024-11-15,391.76,392.10,389.08,389.27,25160794
2024-11-18,389.27,394.45,386.21,392.96,81622305
