# NVDA DEMO DATA — synthetic random walk, NOT real market data
date,open,high,low,close,volume
2024-07-01,120.00,121.68,116.47,117.45,88470925
2024-07-02,117.45,119.20,108.29,110.58,65506418
2024-07-03,110.58,110.67,104.10,105.48,40857951
2024-07-04,105.48,106.33,101.83,104.63,66925500
2024-07-05,104.63,107.70,104.58,107.38,82581196
2024-07-08,107.38,107.94,104.26,107.27,35889829
2024-07-09,107.27,110.51,105.44,110.15,99791249
2024-07-10,110.15,113.07,109.83,112.09,47151382
2024-07-11,112.09,114.72,109.57,110.14,75526412
2024-07-12,110.14,113.09,109.76,113.06,65575469
2024-07-15,113.06,114.65,108.04,109.62,51806769
2024-07-16,109.62,110.22,103.61,106.40,104484207
2024-07-17,106.40,116.55,104.60,116.07,56237646
2024-07-18,116.07,126.39,114.11,123.45,94873475
2024-07-19,123.45,127.54,120.57,127.06,20875794
2024-07-22,127.06,131.98,126.57,129.36,64987923
2024-07-23,129.36,131.39,125.95,126.35,57186071
2024-07-24,126.35,126.86,123.18,123.94,60574161
2024-07-25,123.94,129.47,122.53,128.82,60520089
2024-07-26,128.82,131.00,128.22,129.53,61103447
2024-07-29,129.53,132.28,129.17,129.64,45745211
2024-07-30,129.64,130.20,121.57,123.68,69717585
2024-07-31,123.68,126.85,121.47,124.13,62565085
2024-08-01,124.13,126.17,118.78,121.01,37719420
2024-08-02,121.01,124.02,112.92,115.03,50904892
2024-08-05,115.03,117.52,113.06,116.45,45087230
2024-08-06,116.45,117.07,111.26,112.65,54817568
2024-08-07,112.65,113.89,106.76,110.42,62011281
2024-08-08,110.42,114.14,107.32,107.94,42061826
2024-08-09,107.94,108.07,104.71,106.68,46216927
2024-08-12,106.68,110.97,101.14,101.30,33763153
2024-08-13,101.30,107.34,100.53,106.22,50211832
2024-08-14,106.22,112.88,103.54,108.90,70911093
2024-08-15,108.90,111.47,107.46,110.02,109024881
2024-08-16,110.02,113.83,108.42,113.83,62272892
2024-08-19,113.83,114.44,111.43,111.98,62982874
2024-08-20,111.98,114.14,106.98,108.06,71622169
2024-08-21,108.06,110.62,105.18,105.38,93262024
2024-08-22,105.38,106.87,98.32,100.56,96963800
2024-08-23,100.56,103.87,96.61,98.99,31301644
2024-08-26,98.99,103.82,97.43,102.67,87024957
2024-08-27,102.67,103.12,95.98,97.18,48986350
2024-08-28,97.18,97.89,92.96,95.66,71265189
2024-08-29,95.66,97.42,86.46,88.06,46573504
2024-08-30,88.06,89.53,87.19,87.98,11539285
