# TSLA DEMO DATA — synthetic random walk, NOT real market data
date,open,high,low,close,volume
2024-07-01,250.00,250.21,243.95,249.24,74934217
2024-07-02,249.24,250.55,240.60,245.70,40016607
2024-07-03,245.70,246.28,233.44,239.93,42942236
2024-07-04,239.93,250.99,236.80,246.70,75151354
2024-07-05,246.70,256.09,244.33,254.84,37013435
2024-07-08,254.84,259.50,246.70,258.80,57917040
2024-07-09,258.80,261.58,234.95,241.04,82221821
2024-07-10,241.04,248.11,233.92,236.75,86660615
2024-07-11,236.75,257.91,235.96,245.24,74379931
2024-07-12,245.24,245.36,234.99,239.06,64973920
2024-07-15,239.06,267.77,234.96,266.73,75736122
2024-07-16,266.73,282.61,259.60,272.21,50085386
2024-07-17,272.21,273.97,259.35,264.56,51576966
2024-07-18,264.56,268.04,251.23,266.07,42087762
2024-07-19,266.07,271.23,262.15,265.73,58263592
2024-07-22,265.73,269.32,259.62,262.97,62472333
2024-07-23,262.97,268.83,255.93,267.29,78445446
2024-07-24,267.29,279.40,262.60,277.02,75281731
2024-07-25,277.02,278.68,255.95,261.88,64583121
2024-07-26,261.88,265.76,239.73,252.65,65888705
2024-07-29,252.65,256.56,244.28,245.78,67075974
2024-07-30,245.78,248.20,235.84,238.40,59101627
2024-07-31,238.40,239.13,235.39,237.79,89510969
2024-08-01,237.79,238.72,233.44,234.59,59090575
2024-08-02,234.59,240.84,233.34,234.50,68830260
2024-08-05,234.50,237.80,233.36,233.47,58156301
2024-08-06,233.47,248.27,232.02,247.61,103088397
2024-08-07,247.61,248.14,238.72,246.12,99115295
2024-08-08,246.12,267.07,245.58,258.50,90138985
2024-08-09,258.50,260.57,238.65,250.41,85363657
2024-08-12,250.41,250.66,236.63,240.81,71676055
2024-08-13,240.81,246.08,229.00,229.88,48928509
2024-08-14,229.88,232.54,219.43,221.76,16654463
2024-08-15,221.76,223.55,218.60,221.05,52128895
2024-08-16,221.05,239.50,219.48,238.33,70879132
2024-08-19,238.33,243.37,238.03,241.19,83018648
2024-08-20,241.19,243.33,238.56,241.20,55698478
2024-08-21,241.20,282.81,232.52,274.43,63328649
2024-08-22,274.43,291.81,271.99,290.51,82865404
2024-08-23,290.51,296.69,278.08,287.51,46309286
2024-08-26,287.51,292.50,265.01,268.50,67651936
2024-08-27,268.50,269.89,258.64,260.21,38303434
2024-08-28,260.21,264.82,246.35,249.52,32660834
2024-08-29,249.52,256.08,248.55,249.02,36207001
2024-08-30,249.02,250.83,232.79,238.46,53434332
2024-09-02,238.46,247.69,234.46,234.76,44541363
2024-09-03,234.76,243.51,233.37,237.20,16110632
2024-09-04,237.20,248.94,231.95,243.11,79794937
2024-09-05,243.11,261.29,238.21,259.07,78472409
2024-09-06,259.07,269.63,256.85,262.59,79836771
2024-09-09,262.59,265.07,251.55,254.55,110649367
2024-09-10,254.55,258.01,249.67,249.68,83163253
2024-09-11,249.68,252.73,248.49,249.86,58288958
2024-09-12,249.86,258.52,248.32,254.97,54169361
2024-09-13,254.97,268.25,250.86,262.73,62652759
2024-09-16,262.73,262.81,251.95,252.14,44883805
2024-09-17,252.14,262.48,249.40,251.26,54646909
2024-09-18,251.26,251.92,248.88,249.39,69028932
2024-09-19,249.39,254.89,236.27,249.19,36496158
2024-09-20,249.19,255.20,246.06,250.92,60450941
2024-09-23,250.92,253.57,233.84,241.94,73685011
2024-09-24,241.94,249.38,237.26,247.88,62747104
2024-09-25,247.88,248.80,239.96,247.12,40647884
2024-09-26,247.12,252.92,243.20,244.10,56485943
2024-09-27,244.10,272.28,239.16,267.60,61915073
2024-09-30,267.60,269.78,246.86,256.93,47784786
2024-10-01,256.93,259.33,253.69,254.43,81820794
2024-10-02,254.43,271.36,241.97,265.15,43125997
2024-10-03,265.15,266.81,239.44,243.47,41482490
2024-10-04,243.47,253.28,237.29,239.56,50761667
2024-10-07,239.56,240.15,224.80,225.68,32571683
2024-10-08,225.68,233.82,222.40,231.70,43528835
2024-10-09,231.70,232.80,213.00,218.62,56509110
2024-10-10,218.62,221.97,209.58,218.98,79822226
2024-10-11,218.98,227.40,214.47,216.31,48396744
2024-10-14,216.31,218.28,212.15,215.04,29471212
2024-10-15,215.04,221.03,214.53,218.19,50003826
2024-10-16,218.19,222.15,215.89,218.28,51295174
2024-10-17,218.28,222.11,217.24,217.30,54607716
2024-10-18,217.30,222.47,216.14,220.48,98590770
2024-10-21,220.48,232.06,220.20,228.41,13186752
2024-10-22,228.41,228.73,222.72,223.18,88441673
2024-10-23,223.18,243.44,221.94,239.84,88914235
2024-10-24,239.84,247.92,232.67,243.92,84518023
2024-10-25,243.92,250.82,236.89,245.77,53516162
2024-10-28,245.77,247.48,242.99,243.52,55884769
2024-10-29,243.52,249.49,221.40,225.81,101297711
2024-10-30,225.81,234.83,224.57,230.22,48923216
2024-10-31,230.22,234.16,227.66,233.64,71325617
2024-11-01,233.64,235.10,225.47,229.01,105053135
2024-11-04,229.01,232.83,223.54,225.45,44876982
2024-11-05,225.45,229.69,220.16,225.87,43715541
2024-11-06,225.87,233.76,219.92,222.38,57642108
